V de salida (V),I en el diodo (mA)
8.942670762998636,27.13292785584792
8.916209555641537,26.968173233742768
8.86744259502649,26.78654339246714
8.831512871925908,26.69891176339646
8.77146935120428,26.3689877631422
8.712690493608802,26.33368673047777
8.676589741970444,26.143390068888127
8.609807416100514,26.02410804807155
8.54673799329977,25.83716304590805
8.501186111801529,25.91692337562621
8.45787932150279,25.438797941394398
8.4301940076528,25.4502267969703
8.340145223896279,25.24812034077781
8.297987360537967,25.322878291882965
8.265799382414098,25.203379943195493
8.202872526298938,24.83720792444759
8.158843312065953,24.719835999891643
8.11475083582461,24.725003359549383
8.074039366233908,24.33891047951024
8.004061697204842,24.300695043536663
7.930582978069192,24.11225490762847
